#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C0-42-10,15438,15450,15454,1,
C0-39-10,15442,15453,15454,0,
C2-132-10,15457,15460,15461,0,
C6-336-10,15467,15467,15468,0,
C6-320-11,16385,16413,16414,0,
C10-509-11,16406,16427,16428,0,
C6-317-11,16413,16427,16435,1,
C2-107-11,16423,16441,16442,0,
C10-485-11,16444,16455,16456,0,
C2-134-11,16476,16490,16491,0,
C4-234-11,16521,16525,16533,1,
C9-466-11,16537,16539,16540,0,
C1-94-11,16602,16603,16604,0,
C10-508-11,16621,16621,16622,0,
C1-98-11,16697,16703,16704,0,
C5-252-11,16736,16740,16741,0,
C8-419-11,16853,16853,16854,0,
C7-360-11,16867,16868,16869,0,
C3-158-11,16869,16869,16870,0,
C0-51-11,16872,16872,16873,0,
C9-469-11,16879,16879,16880,0,
C3-160-11,16884,16884,16885,0,
C2-142-11,16885,16885,16886,0,
C9-456-11,16893,16893,16894,0,
C11-526-12,17768,17768,17769,0,
C8-415-12,17807,17830,17838,1,
C0-32-12,17850,17893,17901,1,
C9-451-12,17904,17984,17985,0,
C6-329-12,17907,17984,17985,0,
C2-108-12,17910,17984,17985,0,
C5-264-12,17913,17991,17992,0,
C9-440-12,17929,18005,18006,0,
C1-77-12,17941,18012,18013,0,
C3-153-12,17958,18019,18020,0,
C4-224-12,17977,18019,18034,2,
C10-477-12,17988,18047,18048,0,
C0-45-12,18017,18068,18069,0,
C9-438-12,18022,18068,18069,0,
C9-433-12,18030,18068,18069,0,
C5-274-12,18048,18075,18076,0,
C9-468-12,18054,18075,18076,0,
C0-0-12,18100,18111,18154,6,
C4-242-12,18103,18153,18154,0,
C9-431-12,18107,18153,18154,0,
C10-492-12,18128,18153,18154,0,
C11-525-12,18135,18153,18154,0,
C3-180-12,18140,18160,18161,0,
C0-44-12,18170,18170,18199,4,
C4-217-12,18174,18198,18199,0,
C4-228-12,18193,18198,18200,1,
C11-516-12,18196,18199,18200,0,
C2-136-12,18198,18199,18200,0,
C11-549-12,18200,18200,18201,0,
C0-6-12,18207,18209,18217,1,
C3-188-12,18226,18226,18227,0,
C6-337-12,18287,18287,18288,0,
C10-499-12,18289,18289,18290,0,
C5-290-12,18319,18319,18320,0,
C4-239-12,18324,18324,18325,0,
C4-229-13,19209,19213,19252,6,
C12-572-13,19255,19272,19273,0,
C8-409-13,19276,19293,19294,0,
C7-353-13,19318,19328,19329,0,
C7-351-13,19329,19329,19330,0,
C5-267-13,19331,19331,19332,0,
C6-304-13,19339,19339,19340,0,
C3-168-13,19350,19355,19356,0,
C9-439-13,19350,19355,19356,0,
C3-189-13,19366,19368,19369,0,
C9-470-13,19370,19377,19378,0,
C12-595-13,19374,19377,19378,0,
C10-506-13,19375,19377,19378,0,
C7-357-13,19396,19396,19397,0,
C8-401-13,19400,19400,19401,0,
C9-465-13,19405,19410,19411,0,
C12-578-13,19410,19410,19411,0,
C8-421-13,19425,19435,19436,0,
C6-308-13,19441,19447,19448,0,
C5-271-13,19454,19454,19455,0,
C8-411-13,19467,19470,19471,0,
C7-389-13,19474,19474,19489,2,
C3-166-13,19489,19489,19490,0,
C2-119-13,19632,19632,19633,0,
C12-601-13,19654,19659,19660,0,
C9-473-13,19673,19677,19685,1,
C5-259-13,19683,19684,19685,0,
C12-609-13,19683,19684,19685,0,
C10-497-13,19691,19691,19692,0,
C7-361-13,19695,19695,19696,0,
C6-334-13,19698,19698,19699,0,
C1-78-13,19699,19699,19700,0,
C11-537-13,19723,19729,19730,0,
C10-479-13,19746,19746,19747,0,
C10-488-13,19768,19768,19769,0,
C5-284-13,19783,19783,19784,0,
C6-323-13,19798,19803,19804,0,
C1-79-14,20691,20701,20702,0,
C13-627-14,20732,20743,20744,0,
C7-359-14,20739,20750,20751,0,
C11-552-14,20767,20779,20780,0,
C10-484-14,20783,20793,20794,0,
C12-567-14,20813,20842,20843,0,
C5-265-14,20860,20860,20861,0,
C9-443-14,20882,20882,20883,0,
C9-445-14,20946,20948,20949,0,
C13-629-14,20985,20985,20986,0,
C12-606-14,21004,21004,21005,0,
C12-561-14,21054,21054,21055,0,
C10-475-14,21077,21077,21078,0,
C3-182-14,21081,21081,21124,6,
C11-559-14,21092,21123,21124,0,
C12-602-14,21094,21123,21124,0,
C12-588-14,21121,21123,21124,0,
C2-137-14,21128,21128,21129,0,
C5-275-14,21152,21155,21156,0,
C10-487-14,21161,21164,21165,0,
C5-292-14,21184,21184,21192,1,
C6-313-14,21215,21220,21221,0,
C13-645-14,21227,21227,21249,3,
C9-454-15,22088,22088,22089,0,
C7-379-15,22097,22109,22110,0,
C14-659-15,22107,22137,22145,1,
C11-535-15,22169,22172,22173,0,
C10-510-15,22207,22223,22224,0,
C4-204-15,22213,22237,22238,0,
C9-437-15,22227,22258,22259,0,
C9-448-15,22233,22258,22259,0,
C10-511-15,22253,22279,22280,0,
C9-471-15,22263,22279,22294,2,
C14-650-15,22284,22307,22322,2,
C2-127-15,22300,22321,22322,0,
C3-156-15,22306,22328,22330,1,
C1-68-15,22321,22336,22337,0,
C10-513-15,22327,22336,22358,3,
